Date,Titre,Candidat,lien
08/02/19,Soutien à Idrissa Seck : Bougane s'explique - Leral,Idrissa Seck,https://www.leral.net/Soutien-a-Idrissa-Seck-Bougane-s-explique_a242804.html
08/02/19,Khalifa Sall officialise son soutien à Idrissa Seck (Déclaration) - Leral,Idrissa Seck,https://www.leral.net/Khalifa-Sall-officialise-son-soutien-a-Idrissa-Seck-Declaration_a242832.html
08/02/19,VIDEO - Quand Idrissa Seck et Issa Sall se rencontrent à Kaffrine et ...,Idrissa Seck,https://www.leral.net/VIDEO-Quand-Idrissa-Seck-et-Issa-Sall-se-rencontrent-a-Kaffrine-et-echangent-une-poignee-de-mains_a242819.html
08/02/19,URGENT- Khalifa Sall soutient Idrissa Seck - Leral,Idrissa Seck,https://www.leral.net/URGENT-Khalifa-Sall-soutient-Idrissa-Seck_a242830.html
08/02/19,"VIDEO - Idrissa Seck à Médina Sabakh : ""Le changement sera une ...",Idrissa Seck,https://www.leral.net/VIDEO-Idrissa-Seck-a-Medina-Sabakh-Le-changement-sera-une-evidence-au-soir-du-24-fevrier_a242792.html
08/02/19,"Idrissa Seck : «Si je devais prendre une deuxième épouse, c'est ici à ...",Idrissa Seck,https://www.leral.net/Idrissa-Seck-Si-je-devais-prendre-une-deuxieme-epouse-c-est-ici-a-Porokhane-que-je-viendrais-la-chercher_a242799.html
08/02/19,Idrissa Seck promet la création d'une direction générale de l ... - Leral,Idrissa Seck,https://www.leral.net/Idrissa-Seck-promet-la-creation-d-une-direction-generale-de-l-Enseignement-confessionnel_a242793.html
09/02/19,Urgent- Le cortège d'Idrissa Seck fait 1 mort et 2 blessés - Leral,Idrissa Seck,https://www.leral.net/Urgent-Le-cortege-d-Idrissa-Seck-fait-1-mort-et-2-blesses_a242895.html
10/02/19,"VIDEO - Idrissa Seck à Koupentoum : ""Le 24 février, dinianiou yekeuti ...",Idrissa Seck,https://www.leral.net/VIDEO-Idrissa-Seck-a-Koupentoum-Le-24-fevrier-dinianiou-yekeuti-Macky-baci-kaw-dor-ci-souf_a242912.html
10/02/19,"VIDEO - Mamadou Diallo, responsable UCS de Tambacounda ... - Leral",Idrissa Seck,https://www.leral.net/VIDEO-Mamadou-Diallo-responsable-UCS-de-Tambacounda-soutient-Idrissa-Seck_a242920.html
10/02/19,"VIDEO - Idrissa Seck : ""Tambacounda a été oubliée dans les ... - Leral",Idrissa Seck,https://www.leral.net/VIDEO-Idrissa-Seck-Tambacounda-a-ete-oubliee-dans-les-programmes-de-developpement-de-Macky-Sall_a242913.html
11/02/19,"VIDEO - Idrissa Seck à Vélingara: ""On va abréger les souffrances des ...",Idrissa Seck,https://www.leral.net/VIDEO-Idrissa-Seck-a-Velingara-On-va-abreger-les-souffrances-des-populations-senegalaises_a242947.html
11/02/19,VIDEO - Idrissa Seck promet l'amélioration des conditions de vie des ...,Idrissa Seck,https://www.leral.net/VIDEO-Idrissa-Seck-promet-l-amelioration-des-conditions-de-vie-des-soldats-et-des-veuves-de-soldats_a243016.html
11/02/19,"VIDEO - Idrissa Seck : ""Kolda a le potentiel pour devenir une région ...",Idrissa Seck,https://www.leral.net/VIDEO-Idrissa-Seck-Kolda-a-le-potentiel-pour-devenir-une-region-prospere-pouvant-generer-des-emplois_a242953.html
11/02/19,Matar Bâ: « Ce sont des coquilles vides qui ont rallié Idrissa Seck »,Idrissa Seck,https://www.leral.net/Matar-Ba-Ce-sont-des-coquilles-vides-qui-ont-rallie-Idrissa-Seck_a242958.html
12/02/19,VIDEO : Les temps forts de la caravane de Idrissa Seck à Sédhiou,Idrissa Seck,https://www.leral.net/VIDEO-Les-temps-forts-de-la-caravane-de-Idrissa-Seck-a-Sedhiou_a243037.html
12/02/19,VIDEO - Idrissa Seck décroche le soutien des 15 maires du ... - Leral,Idrissa Seck,https://www.leral.net/VIDEO-Idrissa-Seck-decroche-le-soutien-des-15-maires-du-departement-de-Goudomp_a243061.html
12/02/19,Incidents de Tambacounda: Idrissa Seck exprime ses regrets et lance ...,Idrissa Seck,https://www.leral.net/Incidents-de-Tambacounda-Idrissa-Seck-exprime-ses-regrets-et-lance-un-appel-a-la-paix_a243021.html
13/02/19,VIDEO - En visite chez le Khalife de Médina Souané: Idrissa Seck ...,Idrissa Seck,https://www.leral.net/VIDEO-En-visite-chez-le-Khalife-de-Medina-Souane-Idrissa-Seck-rapelle-les-qualites-d-un-bon-President_a243109.html
14/02/19,En Direct de la Caravane de Idrissa Seck à Kidira - Leral,Idrissa Seck,https://www.leral.net/En-Direct-de-la-Caravane-de-Idrissa-Seck-a-Kidira_a243255.html
14/02/19,En Direct de la Caravane de Idrissa Seck à Kidira - Leral,Idrissa Seck,https://www.leral.net/En-Direct-de-la-Caravane-de-Idrissa-Seck-a-Kidira-n-243255_a243255.html
14/02/19,Photos : Bougane Guèye Dany a demandé à Wade de soutenir Idrissa ...,Idrissa Seck,https://www.leral.net/Photos-Bougane-Gueye-Dany-a-demande-a-Wade-de-soutenir-Idrissa-Seck_a243222.html
14/02/19,VIDEO - Simbadi Brassou: Quand Idrissa Seck prône la préférence ...,Idrissa Seck,https://www.leral.net/VIDEO-Simbadi-Brassou-Quand-Idrissa-Seck-prone-la-preference-nationale-et-charme-la-jeunesse_a243201.html
15/02/19,"VIDEO - Idrissa Seck : ""Kidira confirme que la vison de Macky Sall s ...",Idrissa Seck,https://www.leral.net/VIDEO-Idrissa-Seck-Kidira-confirme-que-la-vison-de-Macky-Sall-s-arrete-a-Diamniadio_a243269.html?com
15/02/19,"PHOTOS - Le passage de la caravane ""Orange"" d'Idrissa Seck à Kidira",Idrissa Seck,https://www.leral.net/PHOTOS-Le-passage-de-la-caravane-Orange-d-Idrissa-Seck-a-Kidira_a243306.html
15/02/19,"CD ""Lui et moi"" contre Wade: Samuel Sarr conduit Idrissa Seck à l ...",Idrissa Seck,https://www.leral.net/CD-Lui-et-moi-contre-Wade-Samuel-Sarr-conduit-Idrissa-Seck-a-l-echafaud-de-sa-conscience_a243278.html
15/02/19,"VIDEO - Idrissa Seck : ""On a déjà gagné à Goudiry"" - Leral",Idrissa Seck,https://www.leral.net/VIDEO-Idrissa-Seck-On-a-deja-gagne-a-Goudiry_a243279.html
15/02/19,"VIDEO - Idrissa Seck : ""Kidira confirme que la vison de Macky Sall s ...",Idrissa Seck,https://www.leral.net/VIDEO-Idrissa-Seck-Kidira-confirme-que-la-vison-de-Macky-Sall-s-arrete-a-Diamniadio_a243269.html
15/02/19,#SunuDebat: Idrissa Seck exige la participaton de Macky Sall - Leral,Idrissa Seck,https://www.leral.net/SunuDebat-Idrissa-Seck-exige-la-participaton-de-Macky-Sall_a243260.html
04/02/19,"Issa Sall accuse Abdoulaye Thimbo, l'oncle de Macky Sall - Leral",Issa Sall,https://www.leral.net/Issa-Sall-accuse-Abdoulaye-Thimbo-l-oncle-de-Macky-Sall_a242443.html
