Date,Titre,Candidat,lien
15/02/19,"Nouveau clip : Natty Jean, Didier Awadi et Gaston clashent Macky Sall...",Macky Sall,https://senego.com/nouveau-clip-natty-jean-didier-awadi-et-gaston-clashent-macky-sall_854735.html
15/02/19,"Keur Ndiaye Lô - Meeting d'ouverture : ""Macky Sall le bon choix"" selon ...",Macky Sall,https://senego.com/keur-ndiaye-lo-meeting-douverture-macky-sall-le-bon-choix-selon-le-depute-maire-ndiagne-diop_855376.html
15/02/19,"Samuel Sarr à Thiès pour la victoire de Macky Sall, dans le fief de ...",Macky Sall,https://senego.com/samuel-sarr-a-thies-pour-la-victoire-de-macky-sall-dans-le-fief-de-idrissa-seck_855257.html
15/02/19,"Vidéo - Maty Momar Ndiaye : ""Gnoune jeunesse sénégalaise dagno ...",Macky Sall,https://senego.com/video-maty-momar-ndiaye-gnoune-jeunesse-senegalaise-dagno-gueum-macky-sall-ndakh-ligueyam_855258.html
14/02/19,"Décès de l'un des militants de Pastef, Macky Sall présente ses ...",Macky Sall,https://senego.com/deces-de-lun-des-militants-de-pastef-macky-sall-presente-ses-condoleances-a-sonko_854628.html
14/02/19,"Soutien à Macky Sall, la famille Sakho dément… - Senego.com",Macky Sall,https://senego.com/soutien-a-macky-sall-la-famille-sakho-dement_854355.html
14/02/19,Macky Sall et sa caravane enterrent l'opposition à Sokone...,Macky Sall,https://senego.com/macky-sall-et-sa-caravane-enterrent-lopposition-a-sokone_854173.html
14/02/19,"Retour au royaume d'enfance, Macky Sall avait la nostalgie de ...",Macky Sall,https://senego.com/retour-au-royaume-denfance-macky-sall-avait-la-nostalgie-de-foundiougne-et_854123.html
14/02/19,Venez rencontrer Macky Sall sur… - Senego.com,Macky Sall,https://senego.com/venez-rencontrer-macky-sall-sur_854382.html
14/02/19,Audio: Fatimata Gaye promet à Macky Sall une victoire dès le premier ...,Macky Sall,https://senego.com/audio-fatimata-gaye-promet-a-macky-sall-une-victoire-des-le-premier-tour_854536.html
13/02/19,Photos - La Jeunesse de Kaolack accueille Macky Sall en fanfare,Macky Sall,https://senego.com/photos-la-jeunesse-de-kaolack-accueille-macky-sall-en-fanfare_853976.html
13/02/19,"Senego Tv - Abdoulaye Wade : ""je ferai tout pour que Macky Sall ...",Macky Sall,https://senego.com/senego-tv-abdoulaye-wade-je-ferai-tout-pour-que-macky-sall-tombe_854043.html
